key,doc_count
animalTheft,4056
arson,542
assault,1072
assaultWithIntent,697
assaultWithSodomiticalIntent,94
bankrupcy,469
barratry,2
bigamy,2343
breakingPeaceNoDetail,51
breakingPeaceOther,21
burglary,10129
coiningOffences,10023
concealingABirth,539
conspiracy,293
damageNoDetail,317
damageOther,171
deceptionNoDetail,35
deceptionOther,47
embezzlement,4762
extortion,388
forgery,6357
fraud,6388
gameLawOffence,33
grandLarceny,40739
habitualCriminal,54
highwayRobbery,3846
housebreaking,3919
illegalAbortion,113
indecentAssault,568
infanticide,428
keepingABrothel,168
kidnapping,223
killNoDetail,4
killOther,244
libel,657
mail,1657
manslaughter,2023
miscellaneousNoDetail,473
miscellaneousOther,612
murder,2600
perjury,1307
pervertingJustice,468
pettyLarceny,950
pettyTreason,23
piracy,7
pocketpicking,13599
rape,1953
receiving,5460
religiousOffences,38
returnFromTransportation,387
riot,178
robbery,4811
royalOffencesNoDetail,1
royalOffencesOther,38
seditiousLibel,78
seditiousWords,82
seducingAllegiance,19
sexualNoDetail,96
sexualOther,78
shoplifting,3401
simpleLarceny,29772
sodomy,1031
stealingFromMaster,10675
taxOffences,153
theftFromPlace,15076
theftNoDetail,12
theftOther,3121
threateningBehaviour,155
treason,47
vagabond,4
violentTheftOther,1
wounding,5400
