key,doc_count
branding,3217
brandingOnCheek,81
burning,36
corporalNoDetail,3
deathAndDissection,67
deathNoDetail,10093
drawnAndQuartered,17
executed,40
fine,6506
forfeiture,3
hangingInChains,7
hardLabour,13970
houseOfCorrection,3262
imprisonNoDetail,53360
insanity,433
militaryNavalDuty,203
miscPunishNoDetail,190
newgate,1932
noPunishNoDetail,113
no_subcategory,5
otherInstitution,299
pardon,63
penalServitude,9453
pillory,258
preventiveDetention,41
privateWhipping,1400
publicWhipping,1408
respited,99
respitedForPregnancy,215
sentenceRespited,4663
sureties,2599
transportNoDetail,40520
whipping,5852
