key,doc_count
1,1
2,0
3,2
4,0
5,0
6,3
7,9
8,31
9,102
10,270
11,405
12,843
13,1398
14,2270
15,2669
16,4371
17,6467
18,8240
19,8352
20,7770
21,7270
22,7028
23,5702
24,5113
25,5050
26,4481
27,4008
28,4756
29,3249
30,4828
31,2223
32,3316
33,2502
34,2500
35,2695
36,2419
37,1800
38,2272
39,1703
40,3105
41,1107
42,1737
43,1222
44,1168
45,1598
46,1135
47,927
48,1116
49,914
50,1252
51,501
52,811
53,588
54,586
55,603
56,567
57,377
58,412
59,354
60,673
61,364
62,357
63,293
64,286
65,267
66,166
67,161
68,160
69,99
70,105
71,46
72,49
73,53
74,49
75,32
76,30
77,21
78,14
79,11
80,16
81,1
82,11
83,10
84,6
85,6
86,7
87,1
88,5
89,2
90,2
91,2
92,2
93,1
94,0
95,1
96,3
97,1
98,0
99,1
