key,doc_count
"Animal or Animal-Drawn Vehicle Driver, Specialisation Unknown",4
Animal-Drawn Vehicle Driver (Road),956
Aristocrat,526
Auctioneer,177
"Author, Journalist or Related Writer, Specialisation Unknown",17
Auxiliary Nurse,1
Baker General,642
"Baker, General",424
Barber Hairdresser,28
Bartender,71
Beam Warper,1
Beef Cattle Farm Worker,134
Blacksmith General,328
Blacksmith Toolmaker or Machine-Tool Operator Specialisation Unknown,1
Bleacher Dyer or Textile Product Finisher Specialisation Unknown,177
Bookbinder (Hand or Machine),94
Bookbinder (Hand),1
Bookkeeper General,32
Brewer General,137
Brick and Tile Kilnman,4
Brick and Tile Moulder (Hand or Machine),70
Bricklayer (Construction),269
Bricklayer (Construction),5
Bricklayer or Stonemason,136
Brush Maker (Hand),108
Budgeting and Accounting Manager,49
Butcher General,1151
Cabinetmaker,325
Candle Maker,108
Candle Maker,50
Carpenter General,1428
Carpet Weaver (Hand or Machine),16
Cartwright,259
Chambermaid and Room Attendant,3
"Chemist, General",211
Child,333
Chocolate Maker,1
Clerical or Related Worker Specialisation Unknown,944
"Clerical or Related Worker, Specialisation Unknown",1
Coach-Body Builder,168
Colour Developer,4
Commercial Traveller,113
Cook Specialisation Unknown,30
"Cook, Specialisation Unknown",77
Cooper,163
Customs officers,205
Cutler,71
Dairy Farm Worker General,15
"Dairy Farm Worker, General",63
Dispensing Optician,31
Dispensing Optician,16
Domestic servant general,1655
"Domestic servant, general",69
"Domestic servant, general",66
Engineers Specialisation Unknown,177
Engraver and Etcher (Artistic),84
Factory Worker,42
Finance Clerk,30
Fisherman Deep-Sea or Inland and Coastal Water,15
"Fisherman, Deep-Sea or Inland and Coastal Water",10
Fur Tailor,80
Gardener,317
General Farmer,660
General Physician,2
Gentry,864
Germination Worker (Malting),1
Goldsmith and Silversmith,425
Gunsmith,73
Hat Maker General,266
"Hat Maker, General",10
Head Teacher,43
Hosiery knitter (Hand),250
Housebuilder General,335
Housekeeper (Private Service in Hotels or in Other Institutions),5
Housekeeper (Private Service),316
Instrumentalist,49
Jeweller General,440
Labourer,1249
Lace Weaver (Hand or Machine),2
Launderer General,80
"Launderer, General",214
Leather Currier,134
Leather Goods Maker General,2
Legal Clerk,8
"Livestock Worker, General",29
"Manager, Specialisation Unknown",63
Medical Assistant,3
Medical Dental Veterinary and Related Workers Not Elsewhere Classified,1
