key,doc_count
1674,36
1675,50
1676,86
1677,83
1678,123
1679,114
1680,109
1681,128
1682,157
1683,201
1684,306
1685,357
1686,302
1687,391
1688,278
1689,281
1690,322
1691,285
1692,248
1693,466
1694,319
1695,340
1696,321
1697,310
1698,349
1699,181
1700,124
1701,0
1702,69
1703,72
1704,117
1705,0
1706,1
1707,164
1708,166
1709,99
1710,174
1711,167
1712,169
1713,113
1714,285
1715,469
1716,416
1717,404
1718,409
1719,393
1720,408
1721,489
1722,435
1723,424
1724,531
1725,604
1726,522
1727,456
1728,485
1729,562
1730,554
1731,517
1732,478
1733,441
1734,411
1735,529
1736,489
1737,436
1738,358
1739,459
1740,440
1741,499
1742,392
1743,447
1744,383
1745,300
1746,348
1747,355
1748,481
1749,577
1750,539
1751,499
1752,456
1753,460
1754,436
1755,353
1756,365
1757,354
1758,321
1759,274
1760,283
1761,325
1762,291
1763,417
1764,523
1765,426
1766,464
1767,486
1768,496
1769,495
1770,532
1771,640
1772,661
1773,673
1774,673
1775,617
1776,608
1777,600
1778,608
1779,381
1780,534
1781,528
1782,625
1783,885
1784,1056
1785,916
1786,932
1787,826
1788,741
1789,851
1790,723
1791,421
1792,591
1793,705
1794,626
1795,536
1796,633
1797,554
1798,597
1799,586
1800,837
1801,835
1802,913
1803,745
1804,599
1805,727
1806,658
1807,743
1808,775
1809,928
1810,912
1811,926
1812,1030
1813,1079
1814,1080
1815,1144
1816,1322
1817,1600
1818,1580
1819,1587
1820,1548
1821,1360
1822,1537
1823,1511
1824,1688
1825,1803
1826,2141
1827,2214
1828,2245
1829,2105
1830,2112
1831,2206
1832,2401
1833,1491
1834,1734
1835,2238
1836,2462
1837,2527
1838,2718
1839,2822
1840,2702
1841,2791
1842,3090
1843,3100
1844,2509
1845,2196
1846,2188
1847,2582
1848,2426
1849,1991
1850,1959
1851,1799
1852,1079
1853,1135
1854,1233
1855,962
1856,1108
1857,1117
1858,1029
1859,972
1860,902
1861,949
1862,1160
1863,1173
1864,1011
1865,1013
1866,975
1867,981
1868,1019
1869,964
1870,833
1871,823
1872,742
1873,703
1874,720
1875,705
1876,815
1877,822
1878,903
1879,936
1880,852
1881,936
1882,1029
1883,991
1884,1124
1885,948
1886,1098
1887,1060
1888,982
1889,904
1890,837
1891,918
1892,980
1893,939
1894,847
1895,860
1896,835
1897,714
1898,764
1899,705
1900,705
1901,785
1902,805
1903,839
1904,809
1905,799
1906,808
1907,764
1908,754
1909,821
1910,793
1911,772
1912,796
1913,295
